Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JULY-2026,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",7080,0,6581,0,0,0,3307,0,55,0,0,0,380,181,2566,0,0,535
MSitAE-JULY-2026,RTE,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,15056,0,0,0,0,0,5065,0,0,0,0,0,316,197,2617,0,0,3053
MSitAE-JULY-2026,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,11136,0,14932,0,0,0,2076,0,0,0,0,0,2,0,4703,0,12,515
MSitAE-JULY-2026,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,23153,0,9858,1684,0,52,10273,0,11,397,0,0,1252,589,4174,0,1,2100
MSitAE-JULY-2026,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,7798,0,10395,0,0,2063,3240,0,400,0,0,26,143,3,2334,0,413,2567
MSitAE-JULY-2026,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8493,0,8742,0,0,576,2099,0,25,0,0,0,641,26,5358,0,0,463
MSitAE-JULY-2026,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,13359,2273,9707,0,0,309,7383,178,771,0,0,0,141,771,3662,0,1197,4246
MSitAE-JULY-2026,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,17483,127,6973,124,0,51,6545,0,239,0,0,0,2075,255,3391,0,168,837
MSitAE-JULY-2026,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,13244,0,4078,0,0,7021,5424,0,0,0,0,0,1475,39,4468,0,0,840
MSitAE-JULY-2026,AQM01,NHS ENGLAND SOUTH EAST ,FAVERSHAM MEDICAL PRACTICE MIU,0,0,3086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
MSitAE-JULY-2026,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,4578,235,1901,15,0,9,1442,0,30,6,0,0,273,121,1490,0,0,96
MSitAE-JULY-2026,RA7,NHS ENGLAND SOUTH WEST ,BRISTOL NHS FOUNDATION TRUST,26582,2543,0,0,0,0,9055,205,0,0,0,0,1416,682,8580,5,0,3978
MSitAE-JULY-2026,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,7348,0,4150,0,0,0,3720,0,426,0,0,0,333,164,1651,0,10,534
MSitAE-JULY-2026,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,26558,600,17100,203,6,234,7883,8,805,61,0,27,811,1996,6225,1,115,736
MSitAE-JULY-2026,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5639,0,7155,0,0,0,2307,0,104,0,0,0,533,27,1806,0,0,62
MSitAE-JULY-2026,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,10438,0,4204,38,0,144,2914,0,29,9,0,0,1193,215,4400,0,0,850
MSitAE-JULY-2026,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873
MSitAE-JULY-2026,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8887,0,5018,742,0,399,4513,0,67,370,0,0,1014,0,2595,0,0,503
MSitAE-JULY-2026,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,12642,0,13655,0,0,0,5302,0,972,0,0,0,464,448,5277,0,2,182
MSitAE-JULY-2026,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,17741,0,3360,363,0,297,6971,0,127,88,0,10,528,772,3954,0,24,1542
